DVM,CIF_ERPLookups,
InterfaceID,IntegrationName,SourceFilePath,SourceFileNamePattern,TargetFilePath,TargetFileName,TargetFilePathFBDI,TargetFileNameFBDI,ToEmailAddress,CustomReportPath,FromEmailAddress,SuccessEmailSubject,ErrorEmailSubject,EmailBody,ErrorThreshold,ICSFilePath,IntegrationType,JobPackage,JobName,FBDIFileName,FBDIFilePath,ManifestFileName,FBDIZipFileName,InboundFileType,ERPServiceParameters,BoundarySystemEmailAddress,BusinessEmailAddress,ICSFBDIZipFilePath,ICSFBDIZipArchivePath,StageTableName,Env_Name,Merchant_ID,ArchiveFilePath,ArchiveFileName
INT03- REFERENCE,CIF_InboundRestAPITemplate,/Custom/CIF_Testing,GlDailyRatesInterface,/Custom/Test/Target,GlDailyRatesInterface,/Custom/Test/FDBITarget,GlDailyRatesInterface.csv,sumitsingh6@kpmg.com,,no-reply@oracle.com,,,,,,,,,,,,,,,,,,,,,,,
ASP1856,OSS_IB_SFDC_PartnerMarketPlace,/Custom/,,60100,,,,meerinapatro1@kpmg.com,/Custom/Customer Relationship Management/Report/DS_AR_RPT_Create_Customer_Contact.xdo,no-reply@oracle.com,Success: OSS_IB_SFDC_PartnerMakrtPlace successfully completed,Error: OSS_IB_SFDC_PartnerMakrtPlace completed in error,,,,Inbound,,,,,,,,,,,,,,,,,
ASP1881,FIN_Inbound_ARLockbox,/ERP/Finance/Inbound/AR_IB_Lockbox,arlockboximportgenbai2_LBX1000209_BofA_MMDDYYYY_HHMMSS_14693_Latest_7.txt,/ERP/Finance/Inbound/AR_IB_Lockbox/arc,arlockboximportgenbai2_LBX1000209_BofA_MMDDYYYY_HHMMSS_14693_Latest_7.txt,,arlockboximportgenbai2_LBX1000209_BofA_MMDDYYYY_HHMMSS_14693_Latest_7.txt,"meerinapatro1@kpmg.com,manaschoudhury@kpmg.com",,no-reply@oracle.com,Success: Integration  AR_IB_BankPaymentsIntoOracle,Error: Integration  AR_IB_BankPaymentsIntoOracle,,,/ERP/Finance/Inbound/AR_IB_Lockbox/arc,,/oracle/apps/ess/financials/receivables/receipts/lockboxes/,ProcessLockboxesMasterEss,arlockboximportgenbai2_LBX1000209_BofA_MMDDYYYY_HHMMSS_14693_Latest_7.txt,/ERP/Finance/Inbound/AR_IB_Lockbox/fbdi,ArLBInterface,arlockboximportgenbai2.zip,,,,,,,,,,/ERP/Finance/Inbound/AR_IB_Lockbox/Archive,
INT1855,Update_Customer_Account,/Custom/,.txt,/Custom/Test/Target,ARCustomer,/Custom/Test/FDBITarget,ARCustomer.csb,rajnisinha@kpmg.com,,no-reply@oracle.com,,,,,,,,,,,,,,,,,,,,,,,
ASP1852,AR_IB_Zuora_CashSales,,,,,,,"Divyanshua@kpmg.com,sawasthi1@kpmg.com",,no-reply@oracle.com,Notification(DEV01): AR_IB_Zuora_CashSales,Notification(DEV01): AR_IB_Zuora_CashSales,,,/Custom/AR/Inbound/ZouraCashSales/,Inbound,,,,,,,,,"kirankumars2@kpmg.com,sawasthi1@kpmg.com","kirankumars2@kpmg.com,sawasthi1@kpmg.com",,,,,,,
ASP1877,OSS_IB_DSCORE_AccountBillingUsageSync,,,,,,,rsrivastava12@kpmg.com,/Custom/InterfaceReport/Report/DS_OSS_RPT_AccountUsageSync.xdo,no-reply@oracle.com,,,,,,Inbound,/oracle/apps/ess/subscriptions/subscriptionManagement/billing/,SubscriptionUsagePricingJob,,,,,,,,,,,,,,,
ASP1897,OSS_IB_DSCORE_UpdateBillingPlan,,,,,,,rohitbhandari@kpmg.com,,no-reply@oracle.com,,,,,,,,,,,,,,,,,,,,,,,
ASP4630,AR_IB_Create_Update_Customer,,,,,,,"meerinapatro1@kpmg.com,Keerthanam@kpmg.com",,no-reply@oracle.com,,,,,,,,,,,,,,,,,,,,,,,
ASP1861,OSS_IB_SF_ProvisionDateSync,,,,,,,keerthanam@kpmg.com,,no-reply@oracle.com,,,,,,Inbound,,,,,,,,,,,,,,,,,
TestFBDI,CIF_SFTPtoERPFBDIProcess,/home/users/kirankumars2@kpmg.com/suppliers/Source/,PozSuppliersInt,/home/users/kirankumars2@kpmg.com/suppliers/Archive/,PozSuppliersInt,/home/users/kirankumars2@kpmg.com/suppliers/,PozSuppliersInt.csv,"kirankumars2@kpmg.com,sawasthi1@kpmg.com",,no-reply@oracle.com,,,,,,,,,,,,,,,,,,,,,,,
